idiom	class	section	subsection	head group>head	class>section>subsection>head group>head	#	semantic-type	definition	citation	source
Надягати (надягти) личину	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. єдність	маскувати, ховати свої справжні думки	Рік служби у почтах Потоцького навчив його носити личину	Зінаїда Тулуб, Людолови, II, 1957, 9
Набір слів	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. єдність	позбавлені смислу сполучення слів, фраз або слова фрази, якими прикривають істинні думки	Але ж і Мухтаров, нервуючись, так спрямував його думку, що годі було викручуватись, ховатись за набором слів	Іван Ле, Міжгір'я, 1953, 347
Міняти личину (личини, шкіру)	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. єдність	приховувати своє справжнє обличчя	Міняють [«самостійники»] личини, братовбивчу ворожнечу між нами посіяти хочуть... Думають, темні, згарячу не розберемось — де згуба, а де порятунок	Олесь Гончар, II, 1959, 190
Цифра справна	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. єдність	про окозамилювання в яких-небудь документах	Незавидні керівники на місцях тільки й дбали про те, щоб у них завжди цифра була справна перед вищим начальством	Василь Кучер, Трудна любов, 1960, 123
Гроб поваплений	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. єдність	уживається на позначення кого-, чого-небудь, що під привабливим зовнішнім виглядом ховає найгірші, найогидніші якості, властивості	«Мир» — це сучасна Сковороді верхівка суспільства, це пишне панство та розкішне духівництво, це ті.. «гроби поваплені», яких він картав слідом за Іваном Вишенським	Максим Рильський, Веч. розмови, 1964, 57
Робити добру (веселу) міну при недобрій (поганій) грі	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. сполучення	ховати незадоволення за зовнішнім спокоєм, веселістю	Не вішати носа, коли в серці кішки скребуться, робити добру міну при зовсім недобрій грі, — на таке здатний не всякий	Юрій Шовкопляс, Людина.., 1962, 225
Пошивати (пошити) у брехню	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. сполучення	звинувачувати кого-небудь у тому, що він говорить неправду	Це ж ви Республіку пошили у брехню, і безоглядно повтікали за кордон	Павло Тичина, I, 1957, 127
Колос на глиняних ногах	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. сполучення	про щось зовні величне, а насправді слабе, готове зруйнуватися		
Мильна бульбашка	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. сполучення	про щось нетривке, нецінне	А що ж діяти? — розпалився Калиновський. — Невже всі наші постанови — фікція, мильна бульбашка?	Зінаїда Тулуб, Людолови, I, 1957, 94
Співати (заводити) лазаря	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фраз. сполучення	скаржитися, прикидатися нещасним, обійденим долею	Та що казать — підкупили, він і почав лазаря співати	Степан Васильченко, III, 1960, 219
Для видимості	intellect	communication of ideas	modes of communication	falsehood	intellect>communication of ideas>modes of communication>falsehood	544	фразеологізоване словосполучення	не насправді, лише для створення потрібного враження	Перед Софією він [Гаркуша] гнеться лише для видимості	Олесь Гончар, Таврія, 1952, 149
Срібне золотце	intellect	communication of ideas	modes of communication	deception	intellect>communication of ideas>modes of communication>deception	545	ідіома	про паскудну людину	[Явдоха:] Навіщо ви вийшли за нього? Спитали б мене, дарма що брат, сказала б прямо: не йдіть, бо то.. срібне золотце!	Марко Кропивницький, II, 1958, 462
Відігрівати (відігріти) змію біля (коло) [свого] серця	intellect	communication of ideas	modes of communication	deception	intellect>communication of ideas>modes of communication>deception	545	фраз. сполучення	піклуватися, виявляти добрі почуття до людини, яка потім віддячує злом	А що, одігріли змію біля свого серця! — гукали перші неймовір ці	Панас Мирний, IV, 1955, 254
Перехвалювати (перехвалити) на один бік	intellect	communication of ideas	modes of communication	exaggeration	intellect>communication of ideas>modes of communication>exaggeration	549	фраз. сполучення	надмірно вихваляючи, псувати кого-небудь	Усі тітки, дядини та кузинки пестили Настусю, мазали її та хвалили, аж перехвалювали на один бік	Нечуй-Левицький, IV, 1956, 228
Каїнова печать	intellect	communication of ideas	means of communicating ideas	natural means>indication	intellect>communication of ideas>means of communicating ideas>natural means>indication	550	фраз. сполучення	тавро зради, злочину	Звістка про пійманого перекинчика швидко облетіла всі човни, і козаки один поперед одного лізли, щоб зазирнути на того, хто навік затаврував себе каїновою печаттю	Спиридон Добровольський, Очаківський розмир, 1965, 315
Гражданський шрифт	intellect	communication of ideas	means of communicating ideas	conventional means>language generally	intellect>communication of ideas>means of communicating ideas>conventional means>language generally	561	фразеологізоване словосполучення	спрощена система накреслення літер російського алфавіту, запроваджена після проведеної Петром I 1708 року реформи кириличного півуставу		
Дієслівний складений присудок	intellect	communication of ideas	means of communicating ideas	conventional means>language generally>word	intellect>communication of ideas>means of communicating ideas>conventional means>language generally>word	562	фразеологізоване словосполучення	присудок, складений з неозначеної форми дієслова і допоміжного дієслова у відмінюваній формі	В залежності від характеру призв'язкової частини розрізняють іменний і дієслівний складений присудок	Словник лінгвістичних термінів, 1957, 140
Дієприслівниковий зворот	intellect	communication of ideas	means of communicating ideas	conventional means>language generally	intellect>communication of ideas>means of communicating ideas>conventional means>language generally	567	фразеологізоване словосполучення	сполучення, що складається з дієприслівника, пояснювальних і залежних від нього слів	Дієприслівникові звороти після сполучників і, та виділяються комами	Художнє читання.., 1955, 100
Кількома словами	intellect	communication of ideas	means of communicating ideas	conventional means>language generally>conciseness	intellect>communication of ideas>means of communicating ideas>conventional means>language generally>conciseness	572	фраз. сполучення	дуже коротко	Я кількома словами розповів, як добирався сюди	Леонід Смілянський, Сашко, 1954, 158
Гробовий голос	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>voice	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>voice	580	фраз. сполучення	глухий, похмурий голос	Хіба не сміялися студенти, коли цей останній [професор Черкавський] починав читати страшним гробовим голосом з старих, обтріпаних зошитів	Петро Колесник, Терен.., 1959, 159
Як горох (горохом) сипати (обсипати)	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>loquacity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>loquacity	584	ідіома	говорити дуже швидко	Він так здавався і нікчемний, Та був розумний, як письменний, Слова так сипав, як горох	Іван Котляревський, I, 1952, 107
Лепетливий на язик	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>loquacity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>loquacity	584	фраз. єдність	балакун	Не казала, бо Зануда на язик лепетливий, а ми люди убогі: боїмось поговору	Нечуй-Левицький, III, 1956, 332
Начухати язики	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>loquacity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>loquacity	584	фраз. єдність	досхочу поговорити про кого-, що-небудь	Всі скоро вгомонилися, бо начухали язики	Григорій Тютюнник, Вир, 1964, 158
Довгий язик	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>loquacity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>loquacity	584	фраз. єдність	про балакливу людину, що говорить зайве, або про її вдачу	Я бачив, що моя розповідь схвилювала її, і жорстоко картав себе за довгий язик	Микола Трублаїні, III, 1956, 281
Наговорити повну хату (повні вуха)	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>loquacity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>loquacity	584	фраз. сполучення	дуже багато сказати, розповісти	[Андрій:] Незабаром он мати з дачі повернеться, то зразу наговорить повну хату	Захар Мороз, П'єси, 1959, 247
Ні (ані) гу-гу	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>taciturnity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>taciturnity	585	ідіома	мовчати, не сказати жодного слова	Кинь його, Оверку, к чорту? Та вмийся, ти, сопляк, і щоб ні гу-гу нікому! Чув?	Андрій Головко, II, 1957, 146
Ні (ані) мур-мур	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>taciturnity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>taciturnity	585	ідіома	уживається на позначення повного мовчання, незнання, невміння	Ванько, племінничок, — міцно обіймав його дядько Онисько. — Приїхав на Донбас .. і ні мур-мур. Висидів, вивчивсь, а тоді вже здумав про дядька	Микола Рудь, Гомін.., 1959, 143
Ні півслова	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>taciturnity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>taciturnity	585	фраз. сполучення	жодного слова, нічого	Невже ти не підеш за мене? — одразу жахається Левко і тільки тепер згадує, що він же перед цим ні півслова не говорив Христині	Михайло Стельмах, I, 1962, 537
Заховатися в собі	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>taciturnity	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>taciturnity	585	фраз. сполучення	перестати спілкуватися з людьми	При її.. натурі ся обстановка може ще більше заставити її заховатись в собі	Леся Українка, V, 1956, 399
Баляси точити	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>conversation	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>conversation	588	ідіома	весело розмовляти, розповідати про щось незначне, несерйозне	Частина вільних козаків видивлялась на польський табір і точила баляси, від яких схоплювався то тут, то там регіт	Петро Панч, III, 1956, 390
Ляси підпускати	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>conversation	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>conversation	588	ідіома	весело, жартівливо заговорювати з ким-небудь, сподіваючись відповіді	Точила [Дидона] всякії баляси І підпускала різні ляси, Енею тілько б угодить	Іван Котляревський, I, 1952, 77
Ляси точити	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>conversation	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>conversation	588	ідіома	вести жартівливі, пусті розмови	Молодому розповідав [Проценко] брехеньки, точив ляси, старого — привертав до себе розсудливою мовою про життя	Панас Мирний, III, 1954, 190
Бали точити (розводити)	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>conversation	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>conversation	588	ідіома	вести пусті розмови, балачки	Чого ж мовчиш, бабо? — Нема мені про що з тобою бали розводити	Михайло Стельмах, Вел. рідня, 1951, 651
Точити розкази	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>conversation	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>conversation	588	ідіома	розказувати, розповідати	Евандр точив гостям розкази, Хвалив Іраклові прокази	Іван Котляревський, I, 1952, 206
Розмикати (розімкнути уста)	intellect	communication of ideas	means of communicating ideas	conventional means>spoken language>conversation	intellect>communication of ideas>means of communicating ideas>conventional means>spoken language>conversation	588	фраз. єдність	починати говорити	Почувала [Гаїнка], що мусить щось сказати, відповісти на ці слова, та не могла розімкнути уста	Борис Грінченко, II, 1963, 400
Бісерний почерк	intellect	communication of ideas	means of communicating ideas	conventional means>written language>writing	intellect>communication of ideas>means of communicating ideas>conventional means>written language>writing	590	фраз. сполучення	дуже дрібний, рівний почерк	Учителька довгенько-таки вчитувалася в бісерний почерк студента	Іван Ле, В снопі.., 1960, 365
Осідлати Пегаса	intellect	communication of ideas	means of communicating ideas	conventional means>written language>poetry	intellect>communication of ideas>means of communicating ideas>conventional means>written language>poetry	597	фраз. єдність	почати писати вірші, стати поетом	Думається мені: коли такий наш [постів] фатум неминучий, то даремне й тікати від нього, а хто не хоче коритись, нехай осідлає того.. Пегаса	Леся Українка, V, 1956, 436
Дієслівна рима	intellect	communication of ideas	means of communicating ideas	conventional means>written language>poetry	intellect>communication of ideas>means of communicating ideas>conventional means>written language>poetry	597	фразеологізоване словосполучення	рима, яка створюється дієсловами	Дуже поширена в поезії рима, що створюється з співзвучності закінчень дієслів, так звана дієслівна рима	Деякі питання поетичної майстерності, 1956, 109
З радної душі	volition	individual	volition in general	acts of volition>willingness	volition>individual>volition in general>acts of volition>willingness	602	ідіома	з великим бажанням, охоче	Семен був би з радної душі пішов, не так із цікавості.., як для того, щоби десь утекти від хати	Лесь Мартович, Тв., 1954, 113
Помимо моєї (своєї і т. ін.) волі	volition	individual	volition in general	acts of volition>unwillingness	volition>individual>volition in general>acts of volition>unwillingness	603	фраз. сполучення	несамохіть, незалежно від власного бажання	Взагалі не ідеалізуйте мене, я навсправжки кажу, що я сього боюся, я вже раз падала з п'єдесталу, зробленого помимо волі моєї	Леся Українка, V, 1956, 169
Жеребок кинуто	volition	individual	volition in general	acts of volition>resolution	volition>individual>volition in general>acts of volition>resolution	604	фраз. вираз	що-небудь вирішено остаточно	коли вже жеребок кинуто, треба облишити всякі виверти, треба прямо і відкрито роз'яснити найширшим масам, які тепер практичні умови успішного перевороту	Ленін, 9, 1949, 327
Не жаліти [своїх] ніг	volition	individual	volition in general	acts of volition>resolution	volition>individual>volition in general>acts of volition>resolution	604	фраз. сполучення	ходити, бігати, не зважаючи на втому	Катря не жаліла своїх ніг: скільки хапало духу, мчалася, спотикалася об груду	Панас Мирний, IV, 1955, 305
Як у забій бити (забити)	volition	individual	volition in general	acts of volition>perseverance	volition>individual>volition in general>acts of volition>perseverance	604a	фраз. єдність	не переставати, не припинятися	Як у забій б'є мороз	Номис, 1864, № 633
Приступний на всі боки	volition	individual	volition in general	acts of volition>obstinacy	volition>individual>volition in general>acts of volition>obstinacy	606	фраз. єдність	який до всього доступиться, всього доб'ється	Жвавий,.. на всі боки приступний, він надумався поширити свої комерційні справи виданням.. книжок	Степан Васильченко, I, 1959, 346
Казитися з жиру	volition	individual	volition in general	acts of volition>caprice	volition>individual>volition in general>acts of volition>caprice	608	ідіома	коверзувати, дуріти з розкошів	Багатирі, дуки гуляють-бенкетують! З жиру не знають, що робити, та казяться!	Панас Мирний, III, 1954, 92
З душком	volition	individual	volition in general	acts of volition>caprice	volition>individual>volition in general>acts of volition>caprice	608	фраз. єдність	капризний, незлагідний	Невістка їй і подобалася мов.., одначе стара все-таки запримітила, що Параска з душком	Панас Мирний, IV, 1955, 43
З жиру біситися	volition	individual	volition in general	acts of volition>caprice	volition>individual>volition in general>acts of volition>caprice	608	фраз. єдність	капризувати, вередувати, живучи розкішно, сито	Один з жиру біситься, а другий риється по смітниках за кухонними покидьками	Ірина Вільде, Сестри.., 1958, 154
Попокрутити носом	volition	individual	volition in general	acts of volition>caprice	volition>individual>volition in general>acts of volition>caprice	608	фраз. єдність	не погоджуватися на що-небудь, відмовлятися, упиратися якийсь час	Попокрутив [Андрій] носом, днів зо два: а далі — що то вже сталось йому — слухаю: ляпа ціпом	Архип Тесленко, З книги життя, 1949, 19
Переходити (перейти, переступати, переступити) рубікон	volition	individual	volition in general	acts of volition>choice	volition>individual>volition in general>acts of volition>choice	609	фраз. сполучення	робити рішучий крок, приймати остаточне рішення	В ті часи [революції] перейти чи не перейти рубікон подеколи буквально означало: зректись революційної батьківщини і переметнутись — або лишитись тут, на рідній землі	Літературна Україна, 9.II 1971, 2
За інерцією	volition	individual	volition in general	acts of volition>habit	volition>individual>volition in general>acts of volition>habit	613	фраз. сполучення	за звичкою, несвідомо, машинально	Огей механічно, за інерцією хутко вдягається	Олесь Досвітній, Вибр., 1959, 300
У цілях яких	volition	individual	prospective volition	conceptional volition>intention	volition>individual>prospective volition>conceptional volition>intention	620	фразеологізоване словосполучення	для чого-небудь, з метою якоюсь	Великі досягнення радянської науки, в тому числі в освоєнні космосу, використовуються нами в мирних цілях, в ім'я щастя людей	Наука і життя, 10, 1962, 7
Подалі від гріха	volition	individual	prospective volition	conceptional volition>avoidance	volition>individual>prospective volition>conceptional volition>avoidance	623	фраз. сполучення	як можна далі від кого-, чого-небудь, щоб уникнути неприємностей	Коли.. на переправах виникали звичайні в таких випадках сутички між їздовими різних частин, Хома тримався подалі від гріха	Олесь Гончар, III, 1959, 202
Братися за чепіги	volition	individual	prospective volition	conceptional volition>business	volition>individual>prospective volition>conceptional volition>business	625	ідіома	братися до роботи, починати господарювати	Рано довелося мені братися за чепіги	Юрій Збанацький, Єдина, 1959, 16
Понакривати столи	volition	individual	prospective volition	subservience to ends>actual subservience>provision	volition>individual>prospective volition>subservience to ends>actual subservience>provision	637	фраз. сполучення	поставити на столи їжу	Святий вечір. Уже позасвічували свічки, понакривали столи	Антін Крушельницький, Буденний хліб.., 1960, 17
Розсипати перли перед свиньми (свинями)	volition	individual	prospective volition	subservience to ends>actual subservience>waste	volition>individual>prospective volition>subservience to ends>actual subservience>waste	638	ідіома	говорити що-небудь людям, марно сподіваючись, що вони зрозуміють це	Коли ти маєш Перли, То й розум май І перед Свинями не розсипай	Леонід Глібов, Вибр., 1951, 151
І ложки не вмочити	volition	individual	prospective volition	subservience to ends>actual subservience>insufficiency	volition>individual>prospective volition>subservience to ends>actual subservience>insufficiency	640	фраз. єдність	не доторкнутися до страви; нічого не з'їсти	Василь їсть через силу, Ганна й ложки не вмочила, стара мати на обід і не глянула	Нечуй-Левицький, I, 1956, 90
Вернутися порожнем	volition	individual	prospective volition	subservience to ends>actual subservience>insufficiency	volition>individual>prospective volition>subservience to ends>actual subservience>insufficiency	640	фраз. сполучення	повернутися звідкись ні з чим, нічого не діставши	А де ж того м'ясця узять? Не довелось Вовкам хазяйнувать, Так поневолі треба красти, Щоб не пропасти; Буває. — ніч і дві і там, і там нюхнем, — І вернемось, як кажуть, порожнем	Леонід Глібов, Вибр., 1951, 157
За день не перевішати	volition	individual	prospective volition	subservience to ends>actual subservience>redundancy	volition>individual>prospective volition>subservience to ends>actual subservience>redundancy	641	ідіома	дуже багато когось, чогось	Там їх зальотників біля неї такого, що за день не перевішаєш	Марко Вовчок, I, 1955, 217
З лихвою	volition	individual	prospective volition	subservience to ends>actual subservience>redundancy	volition>individual>prospective volition>subservience to ends>actual subservience>redundancy	641	ідіома	з надлишком	Безумовно, зрошення потребує додаткових затрат, але вони з лихвою окупаються врожаями	Хлібороб України, 12, 1963, 16
Через верх	volition	individual	prospective volition	subservience to ends>actual subservience>redundancy	volition>individual>prospective volition>subservience to ends>actual subservience>redundancy	641	фраз. єдність	в дуже великій кількості; багато, надмірно	Вихопилося в нього через верх самолюбство і заступило людей	Степан Чорнобривець, Потік.., 1956, 315
З верхом	volition	individual	prospective volition	subservience to ends>actual subservience>redundancy	volition>individual>prospective volition>subservience to ends>actual subservience>redundancy	641	фраз. єдність	вище країв посудини або іншої тари, з надлишком (про що-небудь насипане, набране)	А в мене овесець важненький, дешево віддам, і міра людська: вісім з верхом	Квітка-Основ'яненко, II, 1956, 10
На [повному] серйозі	volition	individual	prospective volition	subservience to ends>degree of subservience>importance	volition>individual>prospective volition>subservience to ends>degree of subservience>importance	642	фраз. сполучення	з усією серйозністю	Звик [хлопчак] на повному серйозі відповідати на запитання старших	Михайло Стельмах, Правда.., 1961, 14
Мокра курка	volition	individual	prospective volition	subservience to ends>degree of subservience>unimportance	volition>individual>prospective volition>subservience to ends>degree of subservience>unimportance	643	ідіома	про жалюгідну на вигляд або безвольну, нерішучу людину	[Катерина:] Така дівчина була [Джульєтта], а ти мокра курка	Олександр Корнійчук, I, 1955, 307
Позаторішні вишкварки	volition	individual	prospective volition	subservience to ends>degree of subservience>unimportance	volition>individual>prospective volition>subservience to ends>degree of subservience>unimportance	643	фраз. єдність	щось не варте уваги, незначне, непотрібне	Толкуються [говорять]! Про що толкуються? Про позаторішні вишкварки!	Панас Мирний, IV, 1955, 229
Як [та] хиря	volition	individual	prospective volition	subservience to ends>degree of subservience>unimportance	volition>individual>prospective volition>subservience to ends>degree of subservience>unimportance	643	фраз. єдність	дуже слабий, жалюгідний	Вернувся наш запорожець Як та хиря, хиря, Обідраний, облатаний, Калікою в хату	Тарас Шевченко, II, 1963, 169
Плюнути (наплювати) і розтерти	volition	individual	prospective volition	subservience to ends>degree of subservience>unimportance	volition>individual>prospective volition>subservience to ends>degree of subservience>unimportance	643	фраз. єдність	не звернути уваги на що-небудь незначне, дрібне, не варте хвилювань, турбот	Він ще ніколи так багато не говорив .., а тепер чув, що слова самі вириваються з його грудей: — Люди добрі, на цю хитрість Варчука і Денисенка треба наплювати і розтерти!	Михайло Стельмах, II, 1962, 134
Заживе до весілля	volition	individual	prospective volition	subservience to ends>degree of subservience>unimportance	volition>individual>prospective volition>subservience to ends>degree of subservience>unimportance	643	фраз. єдність	про незначні ураження, що не становлять небезпеки для здоров'я	Яка ж ти необережна! Та не тужи, заживе до весілля. Колись такі подряпини я присипав землею	Павло Автомонов, Щастя.., 1959, 92
Відступати (відступити) на задній (другий) план	volition	individual	prospective volition	subservience to ends>degree of subservience>unimportance	volition>individual>prospective volition>subservience to ends>degree of subservience>unimportance	643	фраз. єдність	ставати менш важливим, значущим	А прогрес техніки, вчив нас В. І. Ленін, в тому і виявляється, що людська праця все більше і більше відступає на задній план перед працею машин	Радянська Україна, 14.I 1959, 1
Суєта суєт	volition	individual	prospective volition	subservience to ends>degree of subservience>unimportance	volition>individual>prospective volition>subservience to ends>degree of subservience>unimportance	643	фраз. сполучення	те, що не має ніякого значення, цінності; марнота марнот	Усяке багатство, усяка слава  — усе воно суєта суєт: і шабля, й булава з бунчуком.. поляжуть колись поруч із мертвими кістками	Пантелеймон Куліш, Вибр., 1969, 82
Грець з ним	volition	individual	prospective volition	subservience to ends>degree of subservience>unimportance	volition>individual>prospective volition>subservience to ends>degree of subservience>unimportance	643	фраз. сполучення	хай буде так; можна лишити щось поза увагою	Він зайняв якусь вичікувальну позицію. Не до нас йому нібито зараз. Ну, і грець з ним!..	Юрій Шовкопляс, Інженери, 1956, 213
Вичерпати себе	volition	individual	prospective volition	subservience to ends>degree of subservience	volition>individual>prospective volition>subservience to ends>degree of subservience	645	фраз. сполучення	стати нездатним продовжувати свій розвиток, втратити живе, прогресивне	В. І. Ленін підкреслював, що ні одна з галузей науки не вичерпала себе, що перед кожною з них, зокрема перед історією, постають дедалі нові завдання у справі розкриття законів розвитку природи і суспільства	Український історичний журнал, 2, 1960, 19
Приший кобилі хвіст	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	ідіома	про того, хто не відіграє ніякої ролі; про те, що зайве, непотрібне, не має ніякого значення	Хто я в «Сугаклії»? Голова чи може приший кобилі хвіст?	Спиридон Добровольський, Тече річка.., 1961, 244
Марнувати мову (слова)	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	фраз. єдність	безпредметно, безрезультатно говорити	[Деїфоб:] Я, сестрице, не звик даремне марнувати мову	Леся Українка, II, 1951, 280
Зживати (ізживати, зжити, ізжити) себе	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	фраз. єдність	відживати, ставати непотрібним	Людство не хоче і не буде миритися з системою капіталізму, яка історично зжила себе	Програма КПРС, 1961, 30
Тримати (держати) під спудом	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	фраз. єдність	залишати без уваги що-небудь, не використовувати чогось	Знаєте що, отче Палладіє! От чорноризці мають покладні гроші й держать їх дурнісінько під спудом, у скринях	Нечуй-Левицький, III, 1956, 380
Не подобна річ	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	фраз. єдність	не годиться, не слід, не личить	Не подобна річ мені, старому, по весіллях гуляти	Марко Вовчок, I, 1955, 26
Товчіння води в ступі	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	фраз. єдність	про некорисне, марне заняття	Адже добре знає [Турбай], у чому притичина, — думав Ярослав, — навіщо ж і розмову затівати?! Поки комсомольці-десятикласники не підуть на ферми, доти триватиме пустопорожнє товчіння води в ступі	Іван І. Волошин, Місячне срібло, 1961, 216
Як з козла молока	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	фраз. сполучення	немає жодної користі від кого-, чого-небудь	[Храпко:] Що з вашої науки? Як з козла молока!	Панас Мирний, V, 1955, 134
Ні за що оком зачепитися	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	фраз. сполучення	немає нічого виразного	У нього все — обличчя, очі, руки, вбрання — таке звичайне і сіре, що просто ні за що зачепитися оком	Вадим Собко, Нам спокій.., 1959, 141
Гибле діло	volition	individual	prospective volition	subservience to ends>degree of subservience>inutility	volition>individual>prospective volition>subservience to ends>degree of subservience>inutility	645	фраз. сполучення	погана справа	Їдь, дочко, не спізнюйся, — сказав Радивон. — Гибле то діло, коли людина кудись спізниться	Василь Кучер, Трудна любов, 1960, 193
І гич не до речі	volition	individual	prospective volition	subservience to ends>degree of subservience>inexpedience	volition>individual>prospective volition>subservience to ends>degree of subservience>inexpedience	647	ідіома	зовсім не до речі	Оженитися старому На такій дитині! .. не женися: .. І гич не, до речі!	Тарас Шевченко, II, 1953, 169
Міняти шило на швайку	volition	individual	prospective volition	subservience to ends>degree of subservience>inexpedience	volition>individual>prospective volition>subservience to ends>degree of subservience>inexpedience	647	ідіома	невигідно змінювати що-небудь на щось	Не на те втекли ми від пана Бжеського, щоб шило на швайку міняти	Зінаїда Тулуб, Людолови, I, 1957, 66
Вискочити як Пилип з конопель	volition	individual	prospective volition	subservience to ends>degree of subservience>inexpedience	volition>individual>prospective volition>subservience to ends>degree of subservience>inexpedience	647	ідіома	раптово і недоречно сказати що-небудь, виступити з чимсь	[Горлов:] Ну, редактор, вискочив з статтею як той Пилип з конопель	Олександр Корнійчук, II, 1955, 12
Ні пришити, ні прилатати	volition	individual	prospective volition	subservience to ends>degree of subservience>inexpedience	volition>individual>prospective volition>subservience to ends>degree of subservience>inexpedience	647	фраз. єдність	не до ладу	Все думає [товариш], .. а часом як що скаже, то ні пришити, ні прилатати	Іван Франко, I, 1955, 350
